#TYPE System.Management.Automation.PSCustomObject
"Low","High","LBin","HBin","LDec","HDec"
"62.184.58.0","62.184.58.31","00111110101110000011101000000000","00111110101110000011101000011111","1052260864","1052260895"
"62.184.178.96","62.184.178.103","00111110101110001011001001100000","00111110101110001011001001100111","1052291680","1052291687"
"62.185.166.64","62.185.166.127","00111110101110011010011001000000","00111110101110011010011001111111","1052354112","1052354175"
"62.186.77.0","62.186.77.63","00111110101110100100110100000000","00111110101110100100110100111111","1052396800","1052396863"
"62.244.192.0","62.244.255.255","00111110111101001100000000000000","00111110111101001111111111111111","1056227328","1056243711"
"62.248.0.0","62.248.127.255","00111110111110000000000000000000","00111110111110000111111111111111","1056440320","1056473087"
"74.80.78.0","74.80.78.255","01001010010100000100111000000000","01001010010100000100111011111111","1246776832","1246777087"
"77.72.184.0","77.72.191.255","01001101010010001011100000000000","01001101010010001011111111111111","1296611328","1296613375"
"77.73.216.0","77.73.223.255","01001101010010011101100000000000","01001101010010011101111111111111","1296685056","1296687103"
"77.75.32.0","77.75.39.255","01001101010010110010000000000000","01001101010010110010011111111111","1296769024","1296771071"
"77.75.216.0","77.75.223.255","01001101010010111101100000000000","01001101010010111101111111111111","1296816128","1296818175"
"77.79.64.0","77.79.127.255","01001101010011110100000000000000","01001101010011110111111111111111","1297039360","1297055743"
"77.83.200.0","77.83.203.255","01001101010100111100100000000000","01001101010100111100101111111111","1297336320","1297337343"
"77.88.46.144","77.88.46.147","01001101010110000010111010010000","01001101010110000010111010010011","1297624720","1297624723"
"77.90.153.0","77.90.153.255","01001101010110101001100100000000","01001101010110101001100111111111","1297783040","1297783295"
"77.90.160.0","77.90.160.255","01001101010110101010000000000000","01001101010110101010000011111111","1297784832","1297785087"
"77.90.182.0","77.90.183.255","01001101010110101011011000000000","01001101010110101011011111111111","1297790464","1297790975"
"77.92.2.32","77.92.2.47","01001101010111000000001000100000","01001101010111000000001000101111","1297875488","1297875503"
"77.92.2.81","77.92.2.95","01001101010111000000001001010001","01001101010111000000001001011111","1297875537","1297875551"
"77.92.16.0","77.92.19.255","01001101010111000001000000000000","01001101010111000001001111111111","1297879040","1297880063"
"77.92.96.0","77.92.159.255","01001101010111000110000000000000","01001101010111001001111111111111","1297899520","1297915903"
"77.111.255.0","77.111.255.255","01001101011011111111111100000000","01001101011011111111111111111111","1299185408","1299185663"
"77.223.128.0","77.223.143.255","01001101110111111000000000000000","01001101110111111000111111111111","1306492928","1306497023"
"77.223.146.0","77.223.159.255","01001101110111111001001000000000","01001101110111111001111111111111","1306497536","1306501119"
"77.241.72.0","77.241.75.255","01001101111100010100100000000000","01001101111100010100101111111111","1307658240","1307659263"
"77.245.144.0","77.245.159.255","01001101111101011001000000000000","01001101111101011001111111111111","1307938816","1307942911"
"77.247.120.0","77.247.123.255","01001101111101110111100000000000","01001101111101110111101111111111","1308063744","1308064767"
"78.40.224.0","78.40.231.255","01001110001010001110000000000000","01001110001010001110011111111111","1311301632","1311303679"
"78.41.84.0","78.41.87.255","01001110001010010101010000000000","01001110001010010101011111111111","1311331328","1311332351"
"78.111.96.0","78.111.111.255","01001110011011110110000000000000","01001110011011110110111111111111","1315921920","1315926015"
"78.135.0.0","78.135.3.255","01001110100001110000000000000000","01001110100001110000001111111111","1317470208","1317471231"
"78.135.8.0","78.135.127.255","01001110100001110000100000000000","01001110100001110111111111111111","1317472256","1317502975"
"78.142.208.0","78.142.211.255","01001110100011101101000000000000","01001110100011101101001111111111","1317982208","1317983231"
"78.160.0.0","78.191.255.255","01001110101000000000000000000000","01001110101111111111111111111111","1319108608","1321205759"
"79.98.128.0","79.98.135.255","01001111011000101000000000000000","01001111011000101000011111111111","1331855360","1331857407"
"79.99.176.0","79.99.183.255","01001111011000111011000000000000","01001111011000111011011111111111","1331933184","1331935231"
"79.123.128.0","79.123.255.255","01001111011110111000000000000000","01001111011110111111111111111111","1333493760","1333526527"
"79.143.51.0","79.143.51.255","01001111100011110011001100000000","01001111100011110011001111111111","1334784768","1334785023"
"79.170.168.0","79.170.175.255","01001111101010101010100000000000","01001111101010101010111111111111","1336584192","1336586239"
"79.171.16.0","79.171.23.255","01001111101010110001000000000000","01001111101010110001011111111111","1336610816","1336612863"
"79.174.0.0","79.174.3.255","01001111101011100000000000000000","01001111101011100000001111111111","1336803328","1336804351"
"80.93.208.0","80.93.223.255","01010000010111011101000000000000","01010000010111011101111111111111","1348325376","1348329471"
"80.152.46.184","80.152.46.191","01010000100110000010111010111000","01010000100110000010111010111111","1352150712","1352150719"
"80.231.13.161","80.231.13.161","01010000111001110000110110100001","01010000111001110000110110100001","1357319585","1357319585"
"80.239.246.72","80.239.246.79","01010000111011111111011001001000","01010000111011111111011001001111","1357903432","1357903439"
"80.251.32.0","80.251.47.255","01010000111110110010000000000000","01010000111110110010111111111111","1358635008","1358639103"
"80.253.240.0","80.253.255.255","01010000111111011111000000000000","01010000111111011111111111111111","1358819328","1358823423"
"81.6.64.0","81.6.127.255","01010001000001100100000000000000","01010001000001100111111111111111","1359364096","1359380479"
"81.8.0.0","81.8.127.255","01010001000010000000000000000000","01010001000010000111111111111111","1359478784","1359511551"
"81.21.160.0","81.21.175.255","01010001000101011010000000000000","01010001000101011010111111111111","1360371712","1360375807"
"81.22.96.0","81.22.111.255","01010001000101100110000000000000","01010001000101100110111111111111","1360420864","1360424959"
"81.25.141.0","81.25.141.63","01010001000110011000110100000000","01010001000110011000110100111111","1360628992","1360629055"
"81.28.252.0","81.28.255.255","01010001000111001111110000000000","01010001000111001111111111111111","1360854016","1360855039"
"81.31.4.0","81.31.5.255","01010001000111110000010000000000","01010001000111110000010111111111","1360987136","1360987647"
"81.90.176.0","81.90.179.255","01010001010110101011000000000000","01010001010110101011001111111111","1364897792","1364898815"
"81.212.0.0","81.215.255.255","01010001110101000000000000000000","01010001110101111111111111111111","1372848128","1373110271"
"82.145.224.0","82.145.255.255","01010010100100011110000000000000","01010010100100011111111111111111","1385291776","1385299967"
"82.150.64.0","82.150.95.255","01010010100101100100000000000000","01010010100101100101111111111111","1385578496","1385586687"
"82.151.128.0","82.151.159.255","01010010100101111000000000000000","01010010100101111001111111111111","1385660416","1385668607"
"82.222.0.0","82.222.255.255","01010010110111100000000000000000","01010010110111101111111111111111","1390280704","1390346239"
"83.66.0.0","83.66.255.255","01010011010000100000000000000000","01010011010000101111111111111111","1396834304","1396899839"
"83.136.144.0","83.136.147.255","01010011100010001001000000000000","01010011100010001001001111111111","1401458688","1401459711"
"83.150.212.0","83.150.215.255","01010011100101101101010000000000","01010011100101101101011111111111","1402393600","1402394623"
"83.171.244.0","83.171.247.255","01010011101010111111010000000000","01010011101010111111011111111111","1403778048","1403779071"
"84.17.64.0","84.17.95.255","01010100000100010100000000000000","01010100000100010101111111111111","1410416640","1410424831"
"84.44.0.0","84.44.127.255","01010100001011000000000000000000","01010100001011000111111111111111","1412169728","1412202495"
"84.51.0.0","84.51.63.255","01010100001100110000000000000000","01010100001100110011111111111111","1412628480","1412644863"
"84.54.0.0","84.54.3.255","01010100001101100000000000000000","01010100001101100000001111111111","1412825088","1412826111"
"84.54.12.0","84.54.15.255","01010100001101100000110000000000","01010100001101100000111111111111","1412828160","1412829183"
"84.233.147.188","84.233.147.191","01010100111010011001001110111100","01010100111010011001001110111111","1424593852","1424593855"
"84.252.80.0","84.252.83.255","01010100111111000101000000000000","01010100111111000101001111111111","1425821696","1425822719"
"84.252.92.0","84.252.95.255","01010100111111000101110000000000","01010100111111000101111111111111","1425824768","1425825791"
"85.8.144.0","85.8.147.255","01010101000010001001000000000000","01010101000010001001001111111111","1426624512","1426625535"
"85.8.152.0","85.8.163.255","01010101000010001001100000000000","01010101000010001010001111111111","1426626560","1426629631"
"85.29.0.0","85.29.63.255","01010101000111010000000000000000","01010101000111010011111111111111","1427963904","1427980287"
"85.31.125.0","85.31.125.255","01010101000111110111110100000000","01010101000111110111110111111111","1428126976","1428127231"
